
X        Y        RA               DEC              I             DI            Q             DQ            U             DU            P             DP            ANG           DANG          PI            DPI           AST           ID           
9.5      -32.5    17:45:37.299     -29:00:47.48     1146.46       4.5138        -1.18503      0.938769      -5.28508      0.84242       0.472439      0.0739277     -51.3189      4.94213       5.41631       0.847282      1             112          
10.5     -32.5    17:45:36.381     -29:00:47.48     546.596       3.71416       3.57429       0.656514      -3.78713      0.896409      0.952712      0.145131      -23.3281      4.28436       5.20749       0.792491      1             113          
11.5     -32.5    17:45:35.463     -29:00:47.48     540.672       2.12737       0.415694      0.93369       -3.86739      0.680281      0.719415      0.126487      -41.9325      6.85829       3.88967       0.683706      1             114          
12.5     -32.5    17:45:34.551     -29:00:47.48     316.965       1.35466       0.76551       0.888446      0.035348      0.829456      0.24177       0.280261      1.3219        31.0128       0.766326      0.888325      1             115          
23.5     -32.5    17:45:24.486     -29:00:47.39     75.5001       3.18917       -4.83893      0.960551      -2.37544      1.28524       7.13979       1.39928       -76.9267      6.53104       5.39054       1.03163       1             116          
24.5     -32.5    17:45:23.569     -29:00:47.38     211.147       2.35465       -3.83269      0.759873      0.161433      0.971923      1.81678       0.36065       88.7941       7.25582       3.83609       0.7603        1             117          
25.5     -32.5    17:45:22.657     -29:00:47.38     191.59        1.75652       1.8551        0.955751      4.9941        1.21016       2.78069       0.617589      34.811        5.32404       5.32751       1.18223       1             118          
-1.5     -31.5    17:45:47.357     -29:00:35.51     319.581       2.486         -4.60244      0.816702      -1.08609      0.933894      1.4797        0.257876      -83.3611      5.62242       4.72885       0.823301      1             119          
1.5      -31.5    17:45:44.610     -29:00:35.51     470.654       2.34036       5.86374       0.820417      1.10717       0.954583      1.26788       0.175486      5.34626       4.56208       5.96735       0.825398      1             120          
2.5      -31.5    17:45:43.698     -29:00:35.51     648.008       3.65809       5.81536       0.90271       1.50935       0.716398      0.927155      0.137768      7.27489       3.47875       6.00804       0.892102      1             121          
3.5      -31.5    17:45:42.780     -29:00:35.51     642.148       3.29973       4.23334       0.607143      -3.23862      0.827988      0.830041      0.108606      -18.7085      4.05269       5.33009       0.696875      1             122          
4.5      -31.5    17:45:41.869     -29:00:35.51     1320.32       3.56836       0.17418       0.81815       -11.1802      0.999829      0.846887      0.075758      -44.5537      2.09628       11.1816       0.999788      1             123          
